year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1965,Literature,The Nobel Prize in Literature 1965,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",1.ינו׳,638,Individual,Mikhail Aleksandrovich Sholokhov,24.5.1905,Veshenskaya,Russia,Russia,Male,NA,NA,NA,21.2.1984,Veshenskaya,Union of Soviet Socialist Republics,Russia,
1966,Literature,The Nobel Prize in Literature 1966,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",1.פבר׳,639,Individual,Shmuel Yosef Agnon,1888-07-17,Buczacz (Buchach),Austria-Hungary (Ukraine),Ukraine,Male,NA,NA,NA,17.2.1970,Rehovot,Israel,Israel,
1966,Literature,The Nobel Prize in Literature 1966,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""",1.פבר׳,640,Individual,Nelly Sachs,1891-12-10,Berlin,Germany,Germany,Female,NA,NA,NA,12.5.1970,Stockholm,Sweden,Sweden,
1967,Literature,The Nobel Prize in Literature 1967,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",1.ינו׳,641,Individual,Miguel Angel Asturias,1899-10-19,Guatemala City,Guatemala,Guatemala,Male,NA,NA,NA,9.6.1974,Madrid,Spain,Spain,
1968,Literature,The Nobel Prize in Literature 1968,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",1.ינו׳,642,Individual,Yasunari Kawabata,1899-06-11,Osaka,Japan,Japan,Male,NA,NA,NA,16.4.1972,Zushi,Japan,Japan,
1969,Literature,The Nobel Prize in Literature 1969,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",1.ינו׳,643,Individual,Samuel Beckett,13.4.1906,Dublin,Ireland,Ireland,Male,NA,NA,NA,22.12.1989,Paris,France,France,
1970,Literature,The Nobel Prize in Literature 1970,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",1.ינו׳,644,Individual,Aleksandr Isayevich Solzhenitsyn,11.12.1918,Kislovodsk,Russia,Russia,Male,NA,NA,NA,3.8.2008,Troitse-Lykovo,Russia,Russia,
1971,Literature,The Nobel Prize in Literature 1971,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",1.ינו׳,645,Individual,Pablo Neruda,12.7.1904,Parral,Chile,Chile,Male,NA,NA,NA,23.9.1973,Santiago,Chile,Chile,
1972,Literature,The Nobel Prize in Literature 1972,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",1.ינו׳,647,Individual,Heinrich Böll,21.12.1917,Cologne,Germany,Germany,Male,NA,NA,NA,16.7.1985,Bornheim-Merten,West Germany (Germany),Germany,
1973,Literature,The Nobel Prize in Literature 1973,"""for an epic and psychological narrative art which has introduced a new continent into literature""",1.ינו׳,648,Individual,Patrick White,28.5.1912,London,United Kingdom,United Kingdom,Male,NA,NA,NA,30.9.1990,Sydney,Australia,Australia,
1974,Literature,The Nobel Prize in Literature 1974,"""for a narrative art, far-seeing in lands and ages, in the service of freedom""",1.פבר׳,649,Individual,Eyvind Johnson,29.7.1900,Svartbjörnsbyn,Sweden,Sweden,Male,NA,NA,NA,25.8.1976,Stockholm,Sweden,Sweden,
1974,Literature,The Nobel Prize in Literature 1974,"""for writings that catch the dewdrop and reflect the cosmos""",1.פבר׳,650,Individual,Harry Martinson,6.5.1904,Jämshög,Sweden,Sweden,Male,NA,NA,NA,11.2.1978,Stockholm,Sweden,Sweden,
1975,Literature,The Nobel Prize in Literature 1975,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""",1.ינו׳,651,Individual,Eugenio Montale,1896-10-12,Genoa,Italy,Italy,Male,NA,NA,NA,12.9.1981,Milan,Italy,Italy,
1976,Literature,The Nobel Prize in Literature 1976,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",1.ינו׳,652,Individual,Saul Bellow,10.6.1915,Montreal,Canada,Canada,Male,NA,NA,NA,5.4.2005,"Brookline, MA",United States of America,United States of America,
1977,Literature,The Nobel Prize in Literature 1977,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",1.ינו׳,653,Individual,Vicente Aleixandre,1898-04-26,Sevilla,Spain,Spain,Male,NA,NA,NA,14.12.1984,Madrid,Spain,Spain,
1978,Literature,The Nobel Prize in Literature 1978,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",1.ינו׳,654,Individual,Isaac Bashevis Singer,14.7.1904,Leoncin,Russian Empire (Poland),Poland,Male,NA,NA,NA,24.7.1991,"Surfside, FL",United States of America,United States of America,
1979,Literature,The Nobel Prize in Literature 1979,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",1.ינו׳,655,Individual,Odysseus Elytis,2.11.1911,Iráklion,Crete (Greece),Greece,Male,NA,NA,NA,18.3.1996,Athens,Greece,Greece,
1980,Literature,The Nobel Prize in Literature 1980,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",1.ינו׳,657,Individual,Czeslaw Milosz,30.6.1911,&#346;eteniai,Russian Empire (Lithuania),Lithuania,Male,NA,NA,NA,14.8.2004,Kraków,Poland,Poland,
1981,Literature,The Nobel Prize in Literature 1981,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",1.ינו׳,658,Individual,Elias Canetti,25.7.1905,Ruse,Bulgaria,Bulgaria,Male,NA,NA,NA,14.8.1994,Zurich,Switzerland,Switzerland,
1982,Literature,The Nobel Prize in Literature 1982,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",1.ינו׳,659,Individual,Gabriel García Márquez,6.3.1927,Aracataca,Colombia,Colombia,Male,NA,NA,NA,17.4.2014,Mexico City,Mexico,Mexico,
1983,Literature,The Nobel Prize in Literature 1983,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",1.ינו׳,660,Individual,William Golding,19.9.1911,St. Columb Minor,United Kingdom,United Kingdom,Male,NA,NA,NA,19.6.1993,Perranarworthal,United Kingdom,United Kingdom,
1984,Literature,The Nobel Prize in Literature 1984,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",1.ינו׳,661,Individual,Jaroslav Seifert,23.9.1901,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,NA,NA,NA,10.1.1986,Prague,Czechoslovakia,Czechoslovakia,
1985,Literature,The Nobel Prize in Literature 1985,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",1.ינו׳,662,Individual,Claude Simon,10.10.1913,Tananarive (Antananarivo),Madagascar,Madagascar,Male,NA,NA,NA,6.7.2005,Paris,France,France,
1986,Literature,The Nobel Prize in Literature 1986,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",1.ינו׳,663,Individual,Wole Soyinka,13.7.1934,Abeokuta,Nigeria,Nigeria,Male,NA,NA,NA,NA,NA,NA,NA,
1987,Literature,The Nobel Prize in Literature 1987,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",1.ינו׳,664,Individual,Joseph Brodsky,24.5.1940,Leningrad (Saint Petersburg),Union of Soviet Socialist Republics (Russia),Russia,Male,NA,NA,NA,28.1.1996,"New York, NY",United States of America,United States of America,
1988,Literature,The Nobel Prize in Literature 1988,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",1.ינו׳,665,Individual,Naguib Mahfouz,11.12.1911,Cairo,Egypt,Egypt,Male,NA,NA,NA,30.8.2006,Cairo,Egypt,Egypt,
1989,Literature,The Nobel Prize in Literature 1989,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",1.ינו׳,666,Individual,Camilo José Cela,11.5.1916,Iria Flavia,Spain,Spain,Male,NA,NA,NA,17.1.2002,Madrid,Spain,Spain,
1990,Literature,The Nobel Prize in Literature 1990,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",1.ינו׳,667,Individual,Octavio Paz,31.3.1914,Mexico City,Mexico,Mexico,Male,NA,NA,NA,19.4.1998,Mexico City,Mexico,Mexico,
1991,Literature,The Nobel Prize in Literature 1991,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",1.ינו׳,668,Individual,Nadine Gordimer,20.11.1923,Springs,South Africa,South Africa,Female,NA,NA,NA,13.7.2014,Johannesburg,South Africa,South Africa,
1992,Literature,The Nobel Prize in Literature 1992,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""",1.ינו׳,669,Individual,Derek Walcott,23.1.1930,Castries,Saint Lucia,Saint Lucia,Male,NA,NA,NA,NA,NA,NA,NA,
1993,Literature,The Nobel Prize in Literature 1993,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",1.ינו׳,670,Individual,Toni Morrison,18.2.1931,"Lorain, OH",United States of America,United States of America,Female,NA,NA,NA,NA,NA,NA,NA,
1994,Literature,The Nobel Prize in Literature 1994,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""",1.ינו׳,671,Individual,Kenzaburo Oe,31.1.1935,Uchiko,Japan,Japan,Male,NA,NA,NA,NA,NA,NA,NA,
1995,Literature,The Nobel Prize in Literature 1995,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""",1.ינו׳,672,Individual,Seamus Heaney,13.4.1939,Casteldàwson,Northern Ireland,Northern Ireland,Male,NA,NA,NA,30.8.2013,Dublin,Ireland,Ireland,
1996,Literature,The Nobel Prize in Literature 1996,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",1.ינו׳,673,Individual,Wislawa Szymborska,2.7.1923,Bnin (Kórnik),Poland,Poland,Female,NA,NA,NA,1.2.2012,Kraków,Poland,Poland,
1997,Literature,The Nobel Prize in Literature 1997,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",1.ינו׳,674,Individual,Dario Fo,24.3.1926,Leggiuno-Sangiano,Italy,Italy,Male,NA,NA,NA,13.10.2016,Milano,Italy,Italy,
1998,Literature,The Nobel Prize in Literature 1998,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",1.ינו׳,675,Individual,José Saramago,16.11.1922,Azinhaga,Portugal,Portugal,Male,NA,NA,NA,18.6.2010,Lanzarote,Spain,Spain,
1999,Literature,The Nobel Prize in Literature 1999,"""whose frolicsome black fables portray the forgotten face of history""",1.ינו׳,676,Individual,Günter Grass,16.10.1927,Danzig (Gdansk),Free City of Danzig (Poland),Poland,Male,NA,NA,NA,13.4.2015,Lübeck,Germany,Germany,
2000,Literature,The Nobel Prize in Literature 2000,"""for an æuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""",1.ינו׳,734,Individual,Gao Xingjian,4.1.1940,Ganzhou,China,China,Male,NA,NA,NA,NA,NA,NA,NA,
2001,Literature,The Nobel Prize in Literature 2001,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",1.ינו׳,747,Individual,Sir Vidiadhar Surajprasad Naipaul,17.8.1932,NA,Trinidad,Trinidad,Male,NA,NA,NA,NA,NA,NA,NA,
2002,Literature,The Nobel Prize in Literature 2002,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",1.ינו׳,761,Individual,Imre Kertész,9.11.1929,Budapest,Hungary,Hungary,Male,NA,NA,NA,31.3.2016,Budapest,Hungary,Hungary,
2003,Literature,The Nobel Prize in Literature 2003,"""who in innumerable guises portrays the surprising involvement of the outsider""",1.ינו׳,763,Individual,John M. Coetzee,9.2.1940,Cape Town,South Africa,South Africa,Male,NA,NA,NA,NA,NA,NA,NA,
2004,Literature,The Nobel Prize in Literature 2004,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",1.ינו׳,782,Individual,Elfriede Jelinek,20.10.1946,Mürzzuschlag,Austria,Austria,Female,NA,NA,NA,NA,NA,NA,NA,
2005,Literature,The Nobel Prize in Literature 2005,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",1.ינו׳,801,Individual,Harold Pinter,10.10.1930,London,United Kingdom,United Kingdom,Male,NA,NA,NA,24.12.2008,London,United Kingdom,United Kingdom,
2006,Literature,The Nobel Prize in Literature 2006,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",1.ינו׳,808,Individual,Orhan Pamuk,7.6.1952,Istanbul,Turkey,Turkey,Male,NA,NA,NA,NA,NA,NA,NA,
